comID,MolecularFormula,MolecularWeight,SMILES,IUPACName
CID13662,C10H7NO2,173.17,C1=CC=C(C=C1)N2C(=O)C=CC2=O,"1-phenylpyrrole-2,5-dione"
CID13835,C6H8O2,112.13,C=CCOC(=O)C=C,prop-2-enyl prop-2-enoate
CID13853,C5H10O,86.13,CCCC1CO1,2-propyloxirane
CID13931,C12H15N3O3,249.27,C=CCN1C(=O)N(C(=O)N(C1=O)CC=C)CC=C,"1,3,5-tris(prop-2-enyl)-1,3,5-triazinane-2,4,6-trione"
CID14042,C6H10O2,114.14,C=CC(C(C=C)O)O,"hexa-1,5-diene-3,4-diol"
CID14085,C8H7Cl,138.59,C=CC1=CC=C(C=C1)Cl,1-chloro-4-ethenylbenzene
CID14098,C9H8O2,148.16,C=CC1=CC=C(C=C1)C(=O)O,4-ethenylbenzoic acid
CID14106,C8H12O4,172.18,C1CC(CCC1C(=O)O)C(=O)O,"cyclohexane-1,4-dicarboxylic acid"
CID14272,C7H7N,105.14,C=CC1=CN=CC=C1,3-ethenylpyridine
CID14357,C12H8O4,216.19,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,"naphthalene-2,6-dicarboxylic acid"
CID14358,C12H12N2S2,248.4,C1=CC=C(C(=C1)N)SSC2=CC=CC=C2N,2-[(2-aminophenyl)disulfanyl]aniline
CID14491,C6H14S2,150.3,C(CCCS)CCS,"hexane-1,6-dithiol"
CID14493,C8H18S2,178.4,C(CCCCS)CCCS,"octane-1,8-dithiol"
CID14494,C10H22S2,206.4,C(CCCCCS)CCCCS,"decane-1,10-dithiol"
CID14905,C8H7Cl,138.59,C=CC1=CC(=CC=C1)Cl,1-chloro-3-ethenylbenzene
CID14906,C8H7Cl,138.59,C=CC1=CC=CC=C1Cl,1-chloro-2-ethenylbenzene
CID15133,C8H12N2,136.19,C1=CC(=CC(=C1)CN)CN,[3-(aminomethyl)phenyl]methanamine
CID15143,C14H11N,193.24,C=CN1C2=CC=CC=C2C3=CC=CC=C31,9-ethenylcarbazole
CID15388,C5F10O,266.04,C(=C(F)F)(OC(C(C(F)(F)F)(F)F)(F)F)F,"1,1,1,2,2,3,3-heptafluoro-3-(1,2,2-trifluoroethenoxy)propane"
CID15390,C9H15O4P,218.19,C=CCOP(=O)(OCC=C)OCC=C,tris(prop-2-enyl) phosphate
CID15458,C7H12O2,128.17,CC(C)(C)OC(=O)C=C,tert-butyl prop-2-enoate
CID15624,C9H10O,134.17,C=CCC1=CC=CC=C1O,2-prop-2-enylphenol
CID15627,C12H16,160.25,CC(C)(C)C1=CC=C(C=C1)C=C,1-tert-butyl-4-ethenylbenzene
CID15660,C13H26N2,210.36,C1CC(CCC1CC2CCC(CC2)N)N,4-[(4-aminocyclohexyl)methyl]cyclohexan-1-amine
CID15717,C11H12O2,176.21,C=CCOC(=O)CC1=CC=CC=C1,prop-2-enyl 2-phenylacetate
CID15816,C11H20O4,216.27,C(CCCCC(=O)O)CCCCC(=O)O,undecanedioic acid
CID15817,C8H15NO2,157.21,CCCCOCNC(=O)C=C,N-(butoxymethyl)prop-2-enamide
CID15903,C6H10O2,114.14,C1C(O1)CCC2CO2,2-[2-(oxiran-2-yl)ethyl]oxirane
CID16069,C12H10O3,202.21,C1=CC(=CC=C1O)OC2=CC=C(C=C2)O,4-(4-hydroxyphenoxy)phenol
CID16134,C5H10N6,154.17,CN(C)C1=NC(=NC(=N1)N)N,"2-N,2-N-dimethyl-1,3,5-triazine-2,4,6-triamine"
CID16135,C13H20O4,240.29,CC(=C)C(=O)OCC(C)(C)COC(=O)C(=C)C,"[2,2-dimethyl-3-(2-methylprop-2-enoyloxy)propyl] 2-methylprop-2-enoate"
CID16263,C8H7Br,183.04,C=CC1=CC=C(C=C1)Br,1-bromo-4-ethenylbenzene
CID16264,C8H7Br,183.04,C=CC1=CC=CC=C1Br,1-bromo-2-ethenylbenzene
CID16387,C12H18O4,226.27,CC(=C)C(=O)OCCCCOC(=O)C(=C)C,4-(2-methylprop-2-enoyloxy)butyl 2-methylprop-2-enoate
CID16402,C6H16N2,116.2,C(CCCN)CCN,"hexane-1,6-diamine"
CID16637,C6H11NO,113.16,CC(C)NC(=O)C=C,N-propan-2-ylprop-2-enamide
CID16680,C11H16O4,212.24,CC(C)(COC(=O)C=C)COC(=O)C=C,"(2,2-dimethyl-3-prop-2-enoyloxypropyl) prop-2-enoate"
CID16720,C10H10N2,158.2,C1=CC2=C(C=CC=C2N)C(=C1)N,"naphthalene-1,5-diamine"
CID16883,C14H12,180.24,C=CC1=CC=C(C=C1)C2=CC=CC=C2,1-ethenyl-4-phenylbenzene
CID16891,C12H18O5,242.27,CC(=C)C(=O)OCCOCCOC(=O)C(=C)C,2-[2-(2-methylprop-2-enoyloxy)ethoxy]ethyl 2-methylprop-2-enoate
CID16918,C12H12N2O2,216.24,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)O)O)N,2-amino-5-(4-amino-3-hydroxyphenyl)phenol
CID16993,C10H20O,156.26,CCCCCCCCC1CO1,2-octyloxirane
CID17016,C9H12O,136.19,CC1=C(C(=C(C=C1)C)O)C,"2,3,6-trimethylphenol"
CID17046,C10H18O4,202.25,C1C(O1)COCCCCOCC2CO2,2-[4-(oxiran-2-ylmethoxy)butoxymethyl]oxirane
CID17048,C8H14O2,142.2,C1C(O1)CCCCC2CO2,2-[4-(oxiran-2-yl)butyl]oxirane
CID17049,C7H14O2,130.18,CCCCOCC1CO1,2-(butoxymethyl)oxirane
CID17111,C7H13NO2,143.18,CN(C)CCOC(=O)C=C,2-(dimethylamino)ethyl prop-2-enoate
CID17125,C16H12,204.27,C=CC1=C2C=CC=CC2=CC3=CC=CC=C31,9-ethenylanthracene
CID17142,C12H15N3O6,297.26,C1C(O1)CN2C(=O)N(C(=O)N(C2=O)CC3CO3)CC4CO4,"1,3,5-tris(oxiran-2-ylmethyl)-1,3,5-triazinane-2,4,6-trione"
CID17151,C9H14O3,170.21,CC(=C)C(=O)OCC1CCCO1,oxolan-2-ylmethyl 2-methylprop-2-enoate
CID17162,C11H22O2,186.29,CCCCC(CC)COCC1CO1,2-(2-ethylhexoxymethyl)oxirane
CID17163,C15H30O2,242.4,CCCCCCCCCCCCOCC1CO1,2-(dodecoxymethyl)oxirane
CID17181,C10H28N2OSi2,248.51,C[Si](C)(CCCN)O[Si](C)(C)CCCN,3-[[3-aminopropyl(dimethyl)silyl]oxy-dimethylsilyl]propan-1-amine
CID17201,C18H16N2O2,292.3,C1=CC(=CC(=C1)OC2=CC=C(C=C2)N)OC3=CC=C(C=C3)N,4-[3-(4-aminophenoxy)phenoxy]aniline
CID17217,C13H12,168.23,C=CCC1=CC=CC2=CC=CC=C21,1-prop-2-enylnaphthalene
CID17234,C17H32O2,268.4,CCCCCCCCCCCCCOC(=O)C(=C)C,tridecyl 2-methylprop-2-enoate
CID17236,C11H12O2,176.21,CC(=C)C(=O)OCC1=CC=CC=C1,benzyl 2-methylprop-2-enoate
CID17258,C11H20O2,184.27,CCCCCCCCOC(=O)C=C,octyl prop-2-enoate
CID17259,C9H16O2,156.22,CCCCCCOC(=O)C=C,hexyl prop-2-enoate
CID17317,C9H20O5Si,236.34,CO[Si](CCCOCC1CO1)(OC)OC,trimethoxy-[3-(oxiran-2-ylmethoxy)propyl]silane
CID17318,C10H20O5Si,248.35,CC(=C)C(=O)OCCC[Si](OC)(OC)OC,3-trimethoxysilylpropyl 2-methylprop-2-enoate
CID17354,C8H18N2,142.24,C1CC(CCC1CN)CN,[4-(aminomethyl)cyclohexyl]methanamine
CID17369,C7H13NO,127.18,CN1CCCCCC1=O,1-methylazepan-2-one
CID17406,C8H18N2,142.24,C1CC(CC(C1)CN)CN,[3-(aminomethyl)cyclohexyl]methanamine
CID17570,C12H10O2S,218.27,C1=CC(=CC=C1O)SC2=CC=C(C=C2)O,4-(4-hydroxyphenyl)sulfanylphenol
CID17583,C7H13NO,127.18,CCN(CC)C(=O)C=C,"N,N-diethylprop-2-enamide"
CID17587,C5H9NO,99.13,CN(C)C(=O)C=C,"N,N-dimethylprop-2-enamide"
CID17617,C12H20O2,196.29,C=CCOC(=O)CCC1CCCCC1,prop-2-enyl 3-cyclohexylpropanoate
CID17719,C14H16N2O2,244.29,CC(C)(C1=CC(=CC=C1)C(C)(C)N=C=O)N=C=O,"1,3-bis(2-isocyanatopropan-2-yl)benzene"
CID17727,C12H28N2,200.36,C(CCCCCCN)CCCCCN,"dodecane-1,12-diamine"
CID17857,C10H22N2,170.3,CC1(CC(CC(C1)(C)CN)N)C,"3-(aminomethyl)-3,5,5-trimethylcyclohexan-1-amine"
CID17858,C12H24O,184.32,CCCCCCCCCCC1CO1,2-decyloxirane
CID17869,C8H15NO2,157.21,CC(=C)C(=O)OCCN(C)C,2-(dimethylamino)ethyl 2-methylprop-2-enoate
CID17887,C5H6Cl2O2,169,C(CC(=O)Cl)CC(=O)Cl,pentanedioyl dichloride
CID17888,C9H15NO2,169.22,CC(=O)CC(C)(C)NC(=O)C=C,N-(2-methyl-4-oxopentan-2-yl)prop-2-enamide
CID18049,C6H14O2,118.17,CC(CCC(C)O)O,"hexane-2,5-diol"
CID18052,C4H5ClO2,120.53,C=CCOC(=O)Cl,prop-2-enyl carbonochloridate
CID18126,C8H16O,128.21,CCCCCCC1CO1,2-hexyloxirane
CID18139,C12H18O4,226.27,C=CCOC(=O)CCCCC(=O)OCC=C,bis(prop-2-enyl) hexanedioate
CID18156,C14H8N2O4,268.22,C1=CC(=CC(=C1)N2C(=O)C=CC2=O)N3C(=O)C=CC3=O,"1-[3-(2,5-dioxopyrrol-1-yl)phenyl]pyrrole-2,5-dione"
CID18205,C6H14ClNO,151.63,C[N+](C)(C)CC1CO1.[Cl-],trimethyl(oxiran-2-ylmethyl)azanium;chloride
CID18233,C4H6O3,102.09,C1COC(=O)CO1,"1,4-dioxan-2-one"
CID18273,C9H12,120.19,C=CC1CC2CC1C=C2,5-ethenylbicyclo[2.2.1]hept-2-ene
CID18298,C9H14O2,154.21,C=CC(=O)OC1CCCCC1,cyclohexyl prop-2-enoate
CID18303,C4H6O2,86.09,CC1CC(=O)O1,4-methyloxetan-2-one
CID18360,C13H18O2,206.28,CC(C)(C)C1=CC=C(C=C1)OCC2CO2,2-[(4-tert-butylphenoxy)methyl]oxirane
CID18374,C6H14N2,114.19,C1CC(CCC1N)N,"cyclohexane-1,4-diamine"
CID18392,C6H10O3,130.14,COCCOC(=O)C=C,2-methoxyethyl prop-2-enoate
CID18430,C3H5BrO,136.98,C1C(O1)CBr,2-(bromomethyl)oxirane
CID18463,C7H10O,110.15,C1CC2CC1C3C2O3,"3-oxatricyclo[3.2.1.02,4]octane"
CID18503,C12H6N2O2,210.19,C1=CC2=C(C=CC=C2N=C=O)C(=C1)N=C=O,"1,5-diisocyanatonaphthalene"
CID18604,C14H28O,212.37,CCCCCCCCCCCCC1CO1,2-dodecyloxirane
CID18689,C18H26O6,338.4,CCC(COC(=O)C(=C)C)(COC(=O)C(=C)C)COC(=O)C(=C)C,"2,2-bis(2-methylprop-2-enoyloxymethyl)butyl 2-methylprop-2-enoate"
CID18814,C6H14N2,114.19,C1CC(CC(C1)N)N,"cyclohexane-1,3-diamine"
CID18819,C11H22O4Si,246.37,CO[Si](CCC1CCC2C(C1)O2)(OC)OC,trimethoxy-[2-(7-oxabicyclo[4.1.0]heptan-3-yl)ethyl]silane
CID19012,C18H16N2O2,292.3,C1=CC(=CC=C1N)OC2=CC=C(C=C2)OC3=CC=C(C=C3)N,4-[4-(4-aminophenoxy)phenoxy]aniline
CID19262,C10H8N2O2,188.18,C1=CC(=CC(=C1)CN=C=O)CN=C=O,"1,3-bis(isocyanatomethyl)benzene"
CID19601,C10H19NO2,185.26,CC(=C)C(=O)OCCNC(C)(C)C,2-(tert-butylamino)ethyl 2-methylprop-2-enoate
CID19622,C9H10O8,246.17,C1C(C(C(C1C(=O)O)C(=O)O)C(=O)O)C(=O)O,"cyclopentane-1,2,3,4-tetracarboxylic acid"
CID19835,C9H20O2,160.25,C(CCCCO)CCCCO,"nonane-1,9-diol"
CID19919,C5H10O2,102.13,CCOCC1CO1,2-(ethoxymethyl)oxirane
CID19920,C6H12O2,116.16,CC(C)OCC1CO1,2-(propan-2-yloxymethyl)oxirane
CID19958,C8H4N2S2,192.3,C1=CC(=CC=C1N=C=S)N=C=S,"1,4-diisothiocyanatobenzene"
CID19996,C10H14O5,214.21,C=CC(=O)OCCOCCOC(=O)C=C,2-(2-prop-2-enoyloxyethoxy)ethyl prop-2-enoate
CID19997,C10H14O4,198.22,C=COC(=O)CCCCC(=O)OC=C,bis(ethenyl) hexanedioate
CID20113,C19H20Br4O4,632,CC(C)(C1=CC(=C(C(=C1)Br)OCCO)Br)C2=CC(=C(C(=C2)Br)OCCO)Br,"2-[2,6-dibromo-4-[2-[3,5-dibromo-4-(2-hydroxyethoxy)phenyl]propan-2-yl]phenoxy]ethanol"
CID20239,C10H24N2O3,220.31,C(CN)COCCOCCOCCCN,3-[2-[2-(3-aminopropoxy)ethoxy]ethoxy]propan-1-amine
CID20769,C7H12O2,128.17,CC(C)OC(=O)C(=C)C,propan-2-yl 2-methylprop-2-enoate
CID20992,C14H16N2O4,276.29,C1=CC(=O)N(C1=O)CCCCCCN2C(=O)C=CC2=O,"1-[6-(2,5-dioxopyrrol-1-yl)hexyl]pyrrole-2,5-dione"
CID21202,C15H22N2O2,262.35,C1CC(CCC1CC2CCC(CC2)N=C=O)N=C=O,1-isocyanato-4-[(4-isocyanatocyclohexyl)methyl]cyclohexane
CID21397,C10H8S2,192.3,C1=CC2=C(C=CC=C2S)C(=C1)S,"naphthalene-1,5-dithiol"
CID21660,C14H20O6,284.3,C1CCC(C(C1)C(=O)OCC2CO2)C(=O)OCC3CO3,"bis(oxiran-2-ylmethyl) cyclohexane-1,2-dicarboxylate"
CID23546,C14H8Cl2O3,295.1,C1=CC(=CC=C1C(=O)Cl)OC2=CC=C(C=C2)C(=O)Cl,4-(4-carbonochloridoylphenoxy)benzoyl chloride
CID23741,C16H32O,240.42,CCCCCCCCCCCCCCC1CO1,2-tetradecyloxirane
CID23872,C18H36O,268.5,CCCCCCCCCCCCCCCCC1CO1,2-hexadecyloxirane
CID24117,C11H12O3,192.21,C=CCOC(=O)COC1=CC=CC=C1,prop-2-enyl 2-phenoxyacetate
CID24250,C8H20N2,144.26,C(CCCCN)CCCN,"octane-1,8-diamine"
CID24314,C7H14O2,130.18,CC(C)(C)OCC1CO1,2-[(2-methylpropan-2-yl)oxymethyl]oxirane
CID25040,C8H14O4S2,238.3,C(CCOC(=O)CS)COC(=O)CS,4-(2-sulfanylacetyl)oxybutyl 2-sulfanylacetate
CID25378,C8H22N4,174.29,C(CN)CNCCNCCCN,"N'-[2-(3-aminopropylamino)ethyl]propane-1,3-diamine"
CID25426,C5H12BrN,166.06,C[N+](C)(C)C=C.[Br-],ethenyl(trimethyl)azanium;bromide
CID25644,C12H18O4,226.27,C=CC(=O)OCCCCCCOC(=O)C=C,6-prop-2-enoyloxyhexyl prop-2-enoate
CID25689,C24H20N2O4S,432.5,C1=CC(=CC=C1N)OC2=CC=C(C=C2)S(=O)(=O)C3=CC=C(C=C3)OC4=CC=C(C=C4)N,4-[4-[4-(4-aminophenoxy)phenyl]sulfonylphenoxy]aniline
CID25919,C6H7NO2,125.13,C=CCOC(=O)CC#N,prop-2-enyl 2-cyanoacetate
CID27423,C15H20O6,296.31,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,"2,2-bis(prop-2-enoyloxymethyl)butyl prop-2-enoate"
CID27465,C12H8Cl4N2,322,C1=C(C(=CC(=C1Cl)N)Cl)C2=CC(=C(C=C2Cl)N)Cl,"4-(4-amino-2,5-dichlorophenyl)-2,5-dichloroaniline"
CID27756,C9H12,120.19,CC=C1CC2CC1C=C2,5-ethylidenebicyclo[2.2.1]hept-2-ene
CID28594,C11H20O4,216.27,CC(C)(COCC1CO1)COCC2CO2,"2-[[2,2-dimethyl-3-(oxiran-2-ylmethoxy)propoxy]methyl]oxirane"
CID28803,C14H22O7,302.32,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,2-[2-[2-(2-prop-2-enoyloxyethoxy)ethoxy]ethoxy]ethyl prop-2-enoate
CID29520,C10H11NO2,177.2,CC(=C)C(=O)NC1=CC=C(C=C1)O,N-(4-hydroxyphenyl)-2-methylprop-2-enamide
CID29728,C6H8Br2O2,271.93,C=CC(=O)OCC(CBr)Br,"2,3-dibromopropyl prop-2-enoate"
CID29949,C6H6Cl2N2,177.03,C1=C(C(=CC(=C1Cl)N)Cl)N,"2,5-dichlorobenzene-1,4-diamine"
CID31217,C9H10O2,150.17,C1C(O1)COC2=CC=CC=C2,2-(phenoxymethyl)oxirane
CID31247,C6H10O2,114.14,CCCC(=O)OC=C,ethenyl butanoate
CID31262,C8H4N2O2,160.13,C1=CC(=CC(=C1)N=C=O)N=C=O,"1,3-diisocyanatobenzene"
CID31266,C9H16O2,156.22,CCCCCC(=O)OCC=C,prop-2-enyl hexanoate
CID31279,C6H11N,97.16,C=CCNCC=C,N-prop-2-enylprop-2-en-1-amine
CID31352,C10H22O7,254.28,C(C(CO)(CO)COCC(CO)(CO)CO)O,"2-[[3-hydroxy-2,2-bis(hydroxymethyl)propoxy]methyl]-2-(hydroxymethyl)propane-1,3-diol"
CID31368,C4H5N,67.09,CC(=C)C#N,2-methylprop-2-enenitrile
CID31405,C14H22O,206.32,CC(C)(C)C1=C(C(=CC=C1)C(C)(C)C)O,"2,6-DI-Tert-butylphenol"
CID33286,C8H16ClN,161.67,C[N+](C)(CC=C)CC=C.[Cl-],dimethyl-bis(prop-2-enyl)azanium;chloride
CID35409,C7H9NO3,155.15,CC(=C)C(=O)OCCN=C=O,2-isocyanatoethyl 2-methylprop-2-enoate
CID39485,C11H12O3,192.21,C=CC(=O)OCCOC1=CC=CC=C1,2-phenoxyethyl prop-2-enoate
CID41206,C16H20N2,240.34,CC1=CC(=CC(=C1N)C)C2=CC(=C(C(=C2)C)N)C,"4-(4-amino-3,5-dimethylphenyl)-2,6-dimethylaniline"
CID42654,C6H6N4S2,198.3,C1=C(N=C(S1)N)C2=CSC(=N2)N,"4-(2-amino-1,3-thiazol-4-yl)-1,3-thiazol-2-amine"
CID47108,C12H11N3,197.24,C1=CC2=C(C=C1N)C3=C(N2)C=CC(=C3)N,"9H-carbazole-3,6-diamine"
CID53172,C10H14N2O2,194.23,C1CC(CC(C1)CN=C=O)CN=C=O,"1,3-bis(isocyanatomethyl)cyclohexane"
CID61004,C10H20O,156.26,CCCCC(CC)COC=C,3-(ethenoxymethyl)heptane
CID61009,C8H4N2O2,160.13,C1=CC(=CC=C1N=C=O)N=C=O,"1,4-diisocyanatobenzene"
CID61012,C10H19NO2,185.26,CCN(CC)CCOC(=O)C(=C)C,2-(diethylamino)ethyl 2-methylprop-2-enoate
CID61034,C6H8Cl2O2,183.03,C(CCC(=O)Cl)CC(=O)Cl,hexanedioyl dichloride
CID61038,C9H20O2,160.25,CCCCC(CC)(CO)CO,"2-butyl-2-ethylpropane-1,3-diol"
CID61059,C6H10O4S2,210.3,C(COC(=O)CS)OC(=O)CS,2-(2-sulfanylacetyl)oxyethyl 2-sulfanylacetate
CID61158,C6H4N2O6,200.11,C1=C(C(=CC(=C1[N+](=O)[O-])O)O)[N+](=O)[O-],"4,6-dinitrobenzene-1,3-diol"
CID61196,C12H22O3,214.3,CCC(CO)(COCC=C)COCC=C,"2,2-bis(prop-2-enoxymethyl)butan-1-ol"
CID61242,C9H8O2,148.16,C=CC(=O)OC1=CC=CC=C1,phenyl prop-2-enoate
CID61249,C6H10O3,130.14,CC(COC(=O)C=C)O,2-hydroxypropyl prop-2-enoate
CID61410,C12H22O2,198.3,CCCCCCCCC(=O)OCC=C,prop-2-enyl nonanoate
CID61972,C21H20Br4O2,624,CC(C)(C1=CC(=C(C(=C1)Br)OCC=C)Br)C2=CC(=C(C(=C2)Br)OCC=C)Br,"1,3-dibromo-5-[2-(3,5-dibromo-4-prop-2-enoxyphenyl)propan-2-yl]-2-prop-2-enoxybenzene"
CID62140,C12H22O2,198.3,CCCCCCCCCC(=O)OC=C,ethenyl decanoate
CID62311,C14H18Cl2N2O2,317.2,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N.Cl.Cl,4-(4-amino-3-methoxyphenyl)-2-methoxyaniline;dihydrochloride
CID62343,C10H18O2,170.25,CCCCC(CC)C(=O)OC=C,ethenyl 2-ethylhexanoate
CID62385,C10H12,132.2,CC1=CC=C(C=C1)C(=C)C,1-methyl-4-prop-1-en-2-ylbenzene
CID62467,C11H24O4Si,248.39,CCO[Si](C)(CCCOCC1CO1)OCC,diethoxy-methyl-[3-(oxiran-2-ylmethoxy)propyl]silane
CID62474,C2H4O3S,108.12,C=CS(=O)(=O)O,ethenesulfonic acid
CID62475,C9H12,120.19,C1C=CCC2C1CC=C2,"3a,4,7,7a-tetrahydro-1H-indene"
CID62552,C21H40O2,324.5,CCCCCCCCCCCCCCCCCCOC(=O)C=C,octadecyl prop-2-enoate
CID62556,C17H20O8,352.3,C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,"[3-prop-2-enoyloxy-2,2-bis(prop-2-enoyloxymethyl)propyl] prop-2-enoate"
CID62635,C13H32O4Si3,336.65,C[Si](C)(C)O[Si](C)(CCCOCC1CO1)O[Si](C)(C)C,trimethyl-[methyl-[3-(oxiran-2-ylmethoxy)propyl]-trimethylsilyloxysilyl]oxysilane
CID62642,C21H40O3,340.5,CCCCCCCCCCCCCCCCCC(=O)OCC1CO1,oxiran-2-ylmethyl octadecanoate
CID62740,C9H8Br2O2,307.97,C1C(O1)COC2=C(C=C(C=C2)Br)Br,"2-[(2,4-dibromophenoxy)methyl]oxirane"
CID64339,C12H16O4,224.25,C1C2CC3(CC1CC(C2)(C3)C(=O)O)C(=O)O,"adamantane-1,3-dicarboxylic acid"
CID65360,C7H13NO4S,207.25,CC(C)(CS(=O)(=O)O)NC(=O)C=C,2-methyl-2-(prop-2-enoylamino)propane-1-sulfonic acid
CID65432,C4H4O4,116.07,C1C(=O)OCC(=O)O1,"1,4-dioxane-2,5-dione"
CID65578,C2Cl2O2,126.92,C(=O)(C(=O)Cl)Cl,oxalyl dichloride
CID66072,C10H16Cl2O2,239.14,C(CCCCC(=O)Cl)CCCC(=O)Cl,decanedioyl dichloride
CID66077,C20H38O2,310.5,CCCCCCCCCCCCCCCCCC(=O)OC=C,ethenyl octadecanoate
CID66102,C14H14O4,246.26,C=CCOC(=O)C1=CC=C(C=C1)C(=O)OCC=C,"bis(prop-2-enyl) benzene-1,4-dicarboxylate"
CID66166,C16H18O2,242.31,CCC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,4-[2-(4-hydroxyphenyl)butan-2-yl]phenol
CID66171,C5H6N2,94.11,C=CN1C=CN=C1,1-ethenylimidazole
CID66183,C14H14O4,246.26,C=CCOC(=O)C1=CC(=CC=C1)C(=O)OCC=C,"bis(prop-2-enyl) benzene-1,3-dicarboxylate"
CID66190,C8H16Si,140.3,C[Si](C)(CC=C)CC=C,dimethyl-bis(prop-2-enyl)silane
CID66218,C11H16O4,212.24,C=CC1OCC2(CO1)COC(OC2)C=C,"3,9-bis(ethenyl)-2,4,8,10-tetraoxaspiro[5.5]undecane"
CID66282,C4H8S,88.17,CSCC=C,3-methylsulfanylprop-1-ene
CID66314,C6H10O,98.14,C=CCCC1CO1,2-but-3-enyloxirane
CID66339,C6H12Si,112.24,C[Si](C)(C=C)C=C,bis(ethenyl)-dimethylsilane
CID66342,C18H16N2O2,292.3,C1=CC(=CC(=C1)OC2=CC(=CC=C2)OC3=CC=CC(=C3)N)N,3-[3-(3-aminophenoxy)phenoxy]aniline
CID66357,C12H14O3,206.24,CC(=C)C(=O)OCCOC1=CC=CC=C1,2-phenoxyethyl 2-methylprop-2-enoate
CID66537,C14H16N2,212.29,CC1=C(C=CC(=C1)N)C2=C(C=C(C=C2)N)C,4-(4-amino-2-methylphenyl)-3-methylaniline
CID66628,C6H4N2O4,168.11,C1=CN=C(C(=N1)C(=O)O)C(=O)O,"pyrazine-2,3-dicarboxylic acid"
CID66666,C10H10,130.19,C=CC1=CC=CC=C1C=C,"1,2-bis(ethenyl)benzene"
CID66682,C9H14N6,206.25,C=CCN(CC=C)C1=NC(=NC(=N1)N)N,"2-N,2-N-bis(prop-2-enyl)-1,3,5-triazine-2,4,6-triamine"
CID67145,C15H12O6,288.25,C1=CC(=C(C=C1CC2=CC(=C(C=C2)O)C(=O)O)C(=O)O)O,5-[(3-carboxy-4-hydroxyphenyl)methyl]-2-hydroxybenzoic acid
CID67165,C9H14Cl2O2,225.11,C(CCCC(=O)Cl)CCCC(=O)Cl,nonanedioyl dichloride
CID67191,C24H8O6,392.3,C1=CC2=C3C(=CC=C4C3=C1C5=C6C4=CC=C7C6=C(C=C5)C(=O)OC7=O)C(=O)OC2=O,"7,18-dioxaheptacyclo[14.6.2.22,5.03,12.04,9.013,23.020,24]hexacosa-1(23),2,4,9,11,13,15,20(24),21,25-decaene-6,8,17,19-tetrone"
CID67511,C4H6O2,86.09,C1C2C(O2)CO1,"3,6-dioxabicyclo[3.1.0]hexane"
CID67551,C11H5F15O2,454.13,C=CC(=O)OCC(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,"2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctyl prop-2-enoate"
CID67640,C6H2F8O4,290.06,C(=O)(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4,5,5-octafluorohexanedioic acid"
CID67690,C9H9F,136.17,CC(=C)C1=CC=C(C=C1)F,1-fluoro-4-prop-1-en-2-ylbenzene
CID67691,C8H7F,122.14,C=CC1=CC(=CC=C1)F,1-ethenyl-3-fluorobenzene
CID67739,C9H8F8O2,300.15,CC(=C)C(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,"2,2,3,3,4,4,5,5-octafluoropentyl 2-methylprop-2-enoate"
CID67827,C5H2F6O4,240.06,C(=O)(C(C(C(C(=O)O)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4-hexafluoropentanedioic acid"
CID67829,C8H6F8O2,286.12,C=CC(=O)OCC(C(C(C(F)F)(F)F)(F)F)(F)F,"2,2,3,3,4,4,5,5-octafluoropentyl prop-2-enoate"
CID67831,C5H6F6O2,212.09,C(C(C(C(CO)(F)F)(F)F)(F)F)O,"2,2,3,3,4,4-hexafluoropentane-1,5-diol"
CID67833,C4H2F4O4,190.05,C(=O)(C(C(C(=O)O)(F)F)(F)F)O,"2,2,3,3-tetrafluorobutanedioic acid"
CID67845,C5H5F3O2,154.09,C=CCOC(=O)C(F)(F)F,"prop-2-enyl 2,2,2-trifluoroacetate"
CID67883,C8H7F,122.14,C=CC1=CC=C(C=C1)F,1-ethenyl-4-fluorobenzene
CID67889,C5H5F3O2,154.09,C=CC(=O)OCC(F)(F)F,"2,2,2-trifluoroethyl prop-2-enoate"
CID68164,C4H6O4S2,182.2,C(C(=O)O)SSCC(=O)O,2-(carboxymethyldisulfanyl)acetic acid
CID68315,C8H12N2,136.19,C1=CC(=CC=C1CN)CN,[4-(aminomethyl)phenyl]methanamine
CID68328,C5H6O5,146.1,C(C(=O)CC(=O)O)C(=O)O,3-oxopentanedioic acid
CID68352,C5H6O2,98.1,C=C1CCOC1=O,3-methylideneoxolan-2-one
CID68442,C5H4N2O4,156.1,C1=NC(=C(N1)C(=O)O)C(=O)O,"1H-imidazole-4,5-dicarboxylic acid"
